Security Code,Security Id,Security Name,Status,Group
500188,HINDZINC,Hindustan Zinc Ltd,Active,A 
500189,NDLVENTURE,NDL Ventures Ltd,Active,B 
500190,HITDRDM,Hitech Drilling Services India Ltd,Delisted,B 
500191,HMT,HMT Ltd,Active,Z 
500192,PRAGBOS,Prag Bosimi Synthetics Ltd,Active,X 
500193,HLVLTD,HLV Ltd,Active,B 
500195,HOTLINGLAS,Hotline Glass Ltd,Delisted,XD
500197,HTSUMAG,Hytaisun Magnetics Ltd,Delisted,Z 
500198,IBP,IBP Company Ltd,Delisted,B 
500199,IGPL,IG Petrochemicals Ltd,Active,B 
500201,INDIAGLYCO,India Glycols Ltd,Active,B 
500202,INDLEASE,India Lease Development Ltd,Active,X 
500203,INDPOLY,India Polyfibres Ltd,Delisted,B 
500204,INDSEC,India Securities Ltd,Delisted,B 
500206,MARGOFIN,Margo Finance Ltd,Active,X 
500207,INDORAMA,Indo Rama Synthetics (India) Ltd,Active,B 
500208,INDUNISS,Indu Nissan Oxo Chemical Industries Ltd,Delisted,X 
500209,INFY,Infosys Ltd,Active,A 
500210,INGERRAND,Ingersoll-Rand (India) Ltd,Active,A 
500211,INSILCO,Insilco Ltd,Suspended,X 
500212,IFSL,Integrated Financial Services Ltd,Delisted,XT
500213,ITHL,International Travel House Ltd-$,Active,X 
500214,IONEXCHANG,Ion Exchange India Ltd-$,Active,A 
500215,SUNDROP,Sundrop Brands Ltd,Active,B 
500216,ITCHOTEL,ITC Hotels Ltd,Delisted,B 
500217,ITWSGDM,ITW Signode India Ltd,Delisted,B 
500218,JKPHARMA,JK Pharmachem Ltd,Suspended,XT
500219,JISLJALEQS,Jain Irrigation Systems Ltd,Active,A 
500220,JASCH,Jasch Industries Ltd,Active,X 
500221,JPHOTEL,Jaypee Hotels Ltd,Delisted,T 
500222,JCTEL,JCT Electronics Ltd,Delisted,XT
500223,JCTLTD,JCT Ltd,Suspended,Z 
500224,JNDST,JNDST,Delisted,B 
500226,CONSOFIN,Consolidated Finvest & Holdings Ltd,Delisted,B 
500227,JINDALPOLY,Jindal Poly Films Ltd,Active,B 
500228,JSWSTEEL,JSW Steel Ltd,Active,A 
500229,JINDVJY,JINDVJY,Delisted,Z 
500230,JINDALV,JINDALV,Delisted,Z 
500231,UMANGDAIRY,Umang Dairies Ltd,Delisted,B 
500232,JORDENG-B,Jord Engineers India Ltd,Delisted,P 
500233,KAJARIACER,Kajaria Ceramics Ltd,Active,A 
500234,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,Active,B 
500235,KSL,Kalyani Steels Ltd,Active,B 
500236,KANELIND,Kanel Industries Ltd,Suspended,XT
500237,KEDIADI-B,Kedia Distilleries Ltd,Delisted,Z 
500238,WHIRLPOOL,Whirlpool of India Ltd,Active,A 
500239,KGDENIM,KG Denim Ltd,Active,X 
500240,KINETICENG,Kinetic Engineering Ltd,Active,X 
500241,KIRLOSBROS,Kirloskar Brothers Ltd-$,Active,A 
500242,KIRPNDM,Kirloskar Pneumatic Company Ltd,Delisted,B 
500243,KIRLOSIND,Kirloskar Industries Ltd,Active,B 
500245,KIRLFER,Kirloskar Ferrous Industries Ltd,Active,B 
500246,ENVAIREL,Envair Electrodyne Ltd,Active,X 
500247,KOTAKBANK,Kotak Mahindra Bank Ltd,Active,A 
500248,KRIFILIND,Krishna Filament Industries Ltd,Active,XT
500249,KSB,KSB Ltd,Active,A 
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,Active,B 
500251,TRENT,Trent Ltd,Active,A 
500252,LMW,LMW Ltd,Active,A 
500253,LICHSGFIN,LIC Housing Finance Ltd,Active,A 
500254,UTTAMVALUE,Uttam Value Steels Ltd,Delisted,B 
500255,LML,LML Ltd,Delisted,X 
500256,LOKHSG,Lok Housing & Constructions Ltd-$,Delisted,Z 
500257,LUPIN,Lupin Ltd,Active,A 
500258,LUPINDM,Lupin Laboratories Ltd,Delisted,B 
500259,LYKALABS,Lyka Labs Ltd,Active,B 
500260,RAMCOCEM,The Ramco Cements Ltd,Active,A 
500261,MDRPTRO,Madras Petrochem Ltd,Delisted,P 
500262,HYBRIDFIN,Hybrid Financial Services Ltd,Active,B 
500264,MAFATIND,Mafatlal Industries Ltd-$,Active,X 
500265,MAHSEAMLES,Maharashtra Seamless Ltd,Active,A 
500266,MAHSCOOTER,Maharashtra Scooters Ltd,Active,A 
